Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
71050,KR7071050009,한국금융지주,KOSPI,,80400,1,2300,2.94,78600,80800,78600,197442,15806696400.0,4480370000000.0,55725992,STK
454910,KR7454910001,두산로보틱스,KOSPI,,69100,2,-1600,-2.26,69700,70400,68600,512814,35622977700.0,4479060000000.0,64819980,STK
10620,KR7010620003,HD현대미포,KOSPI,,109500,2,-4300,-3.78,113800,114500,108000,642336,70500025100.0,4373670000000.0,39942149,STK
271560,KR7271560005,오리온,KOSPI,,110000,1,2400,2.23,107900,110400,107000,116510,12759916300.0,4348970000000.0,39536132,STK
16360,KR7016360000,삼성증권,KOSPI,,48100,1,1350,2.89,46850,48350,46750,371093,17787233750.0,4295330000000.0,89300000,STK
377300,KR7377300009,카카오페이,KOSPI,,30400,2,-550,-1.78,31050,31300,30300,214721,6606919300.0,4092900000000.0,134634741,STK
251270,KR7251270005,넷마블,KOSPI,,46150,2,-600,-1.28,47700,48000,46000,140812,6607898450.0,3966750000000.0,85953502,STK
720,KR7000720003,현대건설,KOSPI,,34800,1,1050,3.11,34400,35000,33800,1345895,46588530700.0,3875180000000.0,111355765,STK
11070,KR7011070000,LG이노텍,KOSPI,,163300,2,-200,-0.12,163200,165200,163000,115863,19038824600.0,3864840000000.0,23667107,STK
6260,KR7006260004,LS,KOSPI,,119700,2,-8800,-6.85,128500,128600,119000,308688,37549613200.0,3854340000000.0,32200000,STK
307950,KR7307950006,현대오토에버,KOSPI,,140000,2,-1500,-1.06,142800,142800,139200,47412,6638624300.0,3839360000000.0,27423982,STK
36570,KR7036570000,엔씨소프트,KOSPI,,173000,1,1800,1.05,172200,175400,171700,73804,12801195300.0,3798050000000.0,21954022,STK
462870,KR7462870007,시프트업,KOSPI,,65100,1,800,1.24,64800,66100,63900,174627,11385942000.0,3797590000000.0,58334720,STK
5385,KR7005381009,현대차우,KOSPI,,158900,2,-500,-0.31,159100,159700,158500,31707,5039372600.0,3793260000000.0,23871988,STK
9830,KR7009830001,한화솔루션,KOSPI,,21850,2,-50,-0.23,22100,23350,21500,4494475,100629000000.0,3755850000000.0,171892536,STK
302440,KR7302440003,SK바이오사이언스,KOSPI,,47850,2,-200,-0.42,48200,48500,47600,86883,4177993900.0,3748920000000.0,78347293,STK
97950,KR7097950000,CJ제일제당,KOSPI,,246500,1,500,0.2,245000,250000,245000,55560,13788930500.0,3710860000000.0,15054186,STK
78930,KR7078930005,GS,KOSPI,,39850,2,-50,-0.13,39800,40100,39600,177471,7071268700.0,3702680000000.0,92915378,STK
